#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2013-09-09T12:20:21 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ522dbc517400	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/375/863&tab:{J/A+A/375/863/table3}&key:source=J/A+A/375/863&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/375/863/table3
#-order=I
#-out=ID
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=B-V
#-out=V-I
#-out=F1
#-out=F2
#-out=F3
#-out=F4
#-out=F5
#
#
#RESOURCE=yCat_33750863
#Name: J/A+A/375/863
#Title: Photometry in NGC 2516 (Jeffries+, 2001)
#Table	J_A_A_375_863_table3:
#Name: J/A+A/375/863/table3
#Title: The photometric catalogue for NGC 2516
#Column	ID	(I5)	Star number	[ucd=meta.id]
#Column	RAJ2000	(A12)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	V magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? B-V colour index (1)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	V-I	(F6.3)	? V-I (Cousins) colour index (1)	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	F1	(I2)	[-1/1] V vs B-V membership flag (2)	[ucd=meta.code.member]
#Column	F2	(I2)	[-1/1] V vs V-I membership flag (2)	[ucd=meta.code.member]
#Column	F3	(I2)	[-1/1] B-V vs V-I membership flag (2)	[ucd=meta.code.member]
#Column	F4	(I2)	[-1/1] Candidate membership flag (3)	[ucd=meta.code.member]
#Column	F5	(I1)	[0/1] Binarity flag (4)	[ucd=meta.code]
#ID;RAJ2000;DEJ2000;Vmag;B-V;V-I;F1;F2;F3;F4;F5
# ;"h:m:s";"d:m:s"; ; ; ; ; ; ; ;
#-----;------------;------------;------;------;------;--;--;--;--;-
 7262;07 57 46.812;-61 13 04.86;19.925;      ; 1.556; 0;-1; 0;-1;0
 7263;07 57 46.823;-61 01 14.60;15.742; 0.900; 1.010;-1;-1; 1;-1;0
 7264;07 57 46.860;-60 25 05.47;19.023;      ; 1.957; 0;-1; 0;-1;0
 7265;07 57 46.864;-60 58 32.29;15.545; 0.671; 0.823;-1;-1; 1;-1;0
 7266;07 57 46.871;-60 25 16.97;18.301; 0.759; 0.783;-1;-1; 1;-1;0
 7267;07 57 46.881;-61 05 34.19;18.463; 0.872; 0.988;-1;-1; 1;-1;0
 7268;07 57 46.914;-60 23 44.91;19.708; 0.491; 0.616;-1;-1; 1;-1;0
 7269;07 57 46.934;-60 48 33.75;18.564; 0.750; 1.790;-1;-1;-1;-1;0
 7270;07 57 46.952;-61 02 33.17;20.088;      ; 1.223; 0;-1; 0;-1;0
 7271;07 57 46.968;-60 53 27.34;20.278;      ; 1.113; 0;-1; 0;-1;0
 7272;07 57 46.982;-60 50 32.27;19.970;      ; 1.373; 0;-1; 0;-1;0
 7273;07 57 46.982;-61 04 32.49;15.854; 0.680; 0.824;-1;-1; 1;-1;0
 7274;07 57 46.994;-61 11 45.13;17.873; 1.154; 1.272;-1;-1; 1;-1;0
 7275;07 57 47.021;-60 40 52.63;17.276; 0.413; 1.161;-1;-1;-1;-1;0
 7276;07 57 47.061;-60 51 38.85;16.417; 1.408; 1.633; 1; 1; 1; 1;0
 7277;07 57 47.073;-60 39 37.64;19.695; 0.943; 0.799;-1;-1;-1;-1;0
 7278;07 57 47.076;-60 22 09.05;17.677; 0.534; 0.738;-1;-1; 1;-1;0
 7279;07 57 47.117;-60 56 08.72;17.225; 1.586; 2.427; 1;-1; 1;-1;0
 7280;07 57 47.166;-60 58 47.04;19.664;      ; 1.085; 0;-1; 0;-1;0
 7281;07 57 47.189;-60 32 25.02;20.368;      ; 1.194; 0;-1; 0;-1;0
 7282;07 57 47.204;-61 02 51.81;17.268; 0.730; 0.884;-1;-1; 1;-1;0
 7283;07 57 47.206;-61 09 48.57;18.046; 1.150; 1.150;-1;-1; 1;-1;0
 7284;07 57 47.212;-60 25 41.91;15.937; 1.172; 1.286;-1;-1; 1;-1;0
 7285;07 57 47.219;-60 31 54.07;20.557;      ; 2.070; 0;-1; 0;-1;0
 7286;07 57 47.219;-60 34 04.57;20.543;      ; 2.278; 0;-1; 0;-1;0
 7287;07 57 47.257;-60 38 52.51;17.780; 1.184; 1.371;-1;-1; 1;-1;0
 7288;07 57 47.277;-60 38 50.62;18.757; 1.199; 1.510;-1;-1; 1;-1;0
 7289;07 57 47.278;-60 26 52.21;19.473; 0.793; 0.961;-1;-1; 1;-1;0
 7290;07 57 47.319;-61 02 04.86;15.252; 0.870; 1.013;-1;-1; 1;-1;0
 7291;07 57 47.351;-61 05 07.56;18.556; 0.700; 0.854;-1;-1; 1;-1;0
 7292;07 57 47.382;-60 40 00.37;18.481; 1.354; 2.352;-1; 1;-1;-1;0
 7293;07 57 47.413;-60 19 15.59;16.333; 0.808; 0.889;-1;-1; 1;-1;0
 7294;07 57 47.458;-60 35 56.95;18.589; 0.695; 0.836;-1;-1; 1;-1;0
 7295;07 57 47.461;-60 53 46.63;20.496;      ; 1.618; 0;-1; 0;-1;0
 7296;07 57 47.494;-61 03 12.23;12.766; 0.418; 0.535;-1;-1; 1;-1;0
 7297;07 57 47.547;-60 37 00.85;17.554; 0.813; 0.634;-1;-1;-1;-1;0
 7298;07 57 47.563;-60 39 06.72;16.942; 1.018; 1.127;-1;-1; 1;-1;0
 7299;07 57 47.567;-60 38 41.66;20.606;      ; 0.634; 0;-1; 0;-1;0
 7300;07 57 47.584;-61 11 10.56;18.321; 1.358; 1.587;-1;-1; 1;-1;0
 7301;07 57 47.621;-60 21 00.87;17.221; 1.005; 1.103;-1;-1; 1;-1;0
 7302;07 57 47.637;-60 45 45.55;16.533; 0.696; 0.870;-1;-1; 1;-1;0
 7303;07 57 47.639;-61 06 52.04;20.180; 0.561; 1.231;-1;-1;-1;-1;0
 7304;07 57 47.724;-61 10 49.13;18.351; 1.980; 3.375;-1;-1;-1;-1;0
 7305;07 57 47.744;-61 03 05.15;15.474; 0.753; 1.209;-1;-1;-1;-1;0
 7306;07 57 47.763;-60 23 38.33;20.620;      ; 3.008; 0; 1; 0; 1;0
 7307;07 57 47.790;-60 27 22.57;15.848; 1.120; 1.282;-1;-1; 1;-1;0
 7308;07 57 47.841;-60 51 23.70;16.081; 0.742; 0.871;-1;-1; 1;-1;0
 7309;07 57 47.852;-61 13 00.52;19.887;      ; 2.522; 0;-1; 0;-1;0
 7310;07 57 47.865;-60 28 33.50;19.331; 1.824; 1.536;-1;-1;-1;-1;0
 7311;07 57 47.898;-60 53 21.82;19.322; 1.160; 1.350;-1;-1; 1;-1;0
 7312;07 57 47.898;-60 56 13.07;13.839; 0.831; 0.922; 1; 1; 1; 1;0
 7313;07 57 47.899;-60 43 36.25;20.277;      ; 2.246; 0;-1; 0;-1;0
 7314;07 57 47.922;-60 25 47.12;20.276;      ; 0.976; 0;-1; 0;-1;0
 7315;07 57 47.924;-60 54 15.66;20.396;      ; 1.517; 0;-1; 0;-1;0
 7316;07 57 47.942;-61 04 23.50;17.404; 0.814; 0.894;-1;-1; 1;-1;0
 7317;07 57 47.952;-61 04 28.51;21.066;      ; 1.893; 0;-1; 0;-1;0
 7318;07 57 48.041;-61 05 03.34;17.871; 0.941; 1.032;-1;-1; 1;-1;0
 7319;07 57 48.046;-60 26 33.68;19.593; 0.743; 1.028;-1;-1; 1;-1;0
 7320;07 57 48.051;-60 51 18.09;16.941; 0.635; 0.797;-1;-1; 1;-1;0
 7321;07 57 48.083;-60 49 22.08;17.864; 0.727; 0.919;-1;-1; 1;-1;0
 7322;07 57 48.121;-60 41 11.93;14.993; 1.063; 1.136; 1; 1; 1; 1;0
 7323;07 57 48.135;-60 55 51.69;18.490; 0.323; 2.024;-1;-1;-1;-1;0
 7324;07 57 48.209;-60 34 02.11;17.227; 0.804; 0.901;-1;-1; 1;-1;0
 7325;07 57 48.259;-60 43 15.85;16.469;      ; 3.100; 0;-1; 0;-1;0
 7326;07 57 48.263;-60 57 00.17;19.297;      ; 1.553; 0;-1; 0;-1;0
 7327;07 57 48.301;-60 27 37.41;18.167; 0.724; 0.999;-1;-1; 1;-1;0
 7328;07 57 48.320;-60 31 30.77;12.105; 0.485; 0.590;-1; 1; 1;-1;0
 7329;07 57 48.393;-60 39 19.93;19.336; 0.604; 0.885;-1;-1; 1;-1;0
 7330;07 57 48.408;-60 22 41.01;19.011; 0.850; 0.937;-1;-1; 1;-1;0
 7331;07 57 48.468;-61 07 33.75;19.125; 1.831; 2.217;-1;-1;-1;-1;0
 7332;07 57 48.469;-61 02 04.41;20.567;      ; 0.917; 0;-1; 0;-1;0
 7333;07 57 48.477;-61 08 51.00;15.652; 0.739; 0.876;-1;-1; 1;-1;0
 7334;07 57 48.526;-61 09 39.12;18.075; 1.340; 1.460;-1;-1; 1;-1;0
 7335;07 57 48.528;-60 35 37.16;11.216;      ; 0.451; 0; 1; 0; 1;0
 7336;07 57 48.585;-61 00 06.51;18.249; 1.067; 1.192;-1;-1; 1;-1;0
 7337;07 57 48.587;-60 45 59.48;18.134; 1.267; 1.414;-1;-1; 1;-1;0
 7338;07 57 48.597;-60 26 47.33;18.659; 0.867; 0.893;-1;-1; 1;-1;0
 7339;07 57 48.612;-60 50 27.29;16.654; 0.829; 0.882;-1;-1; 1;-1;0
 7340;07 57 48.647;-60 54 40.98;18.670; 1.043; 0.862;-1;-1;-1;-1;0
 7341;07 57 48.703;-60 39 38.01;19.684; 0.555; 0.454;-1;-1;-1;-1;0
 7342;07 57 48.720;-61 06 00.82;12.197; 1.685; 2.405;-1;-1;-1;-1;0
 7343;07 57 48.726;-61 00 13.97;17.460; 0.723; 0.866;-1;-1; 1;-1;0
 7344;07 57 48.787;-60 59 01.34;19.186;      ; 1.111; 0;-1; 0;-1;0
 7345;07 57 48.934;-60 24 07.44;19.220; 0.774; 1.082;-1;-1;-1;-1;0
 7346;07 57 48.949;-60 35 03.12;17.579; 0.706; 0.878;-1;-1; 1;-1;0
 7347;07 57 48.959;-60 35 38.82;11.195; 0.365; 0.446; 1; 1; 1; 1;0
 7348;07 57 49.040;-60 42 26.81;15.241; 0.807; 0.911;-1;-1; 1;-1;0
 7349;07 57 49.069;-61 07 01.11;17.320; 0.736; 0.891;-1;-1; 1;-1;0
 7350;07 57 49.072;-60 40 50.50;15.180; 0.815; 0.992;-1;-1; 1;-1;0
 7351;07 57 49.115;-61 10 23.56;19.201; 1.218; 1.455;-1;-1; 1;-1;0
 7352;07 57 49.138;-60 36 34.15;16.280;      ; 1.635; 0; 1; 0; 1;0
 7353;07 57 49.139;-60 59 14.66;18.272; 1.489; 1.789; 1;-1; 1;-1;0
 7354;07 57 49.221;-60 29 34.27;20.973;      ; 2.200; 0;-1; 0;-1;0
 7355;07 57 49.233;-60 21 44.96;18.471; 0.897; 0.932;-1;-1; 1;-1;0
 7356;07 57 49.238;-60 44 12.12;14.276; 0.678; 0.823;-1;-1; 1;-1;0
 7357;07 57 49.261;-60 51 35.28;16.385; 0.982; 1.124;-1;-1; 1;-1;0
 7358;07 57 49.272;-60 50 50.51;17.800; 1.474; 2.126; 1; 1; 1; 1;0
 7359;07 57 49.272;-61 04 30.87;19.146; 1.018; 1.090;-1;-1; 1;-1;0
 7360;07 57 49.293;-61 11 17.14;18.684; 0.966; 1.250;-1;-1; 1;-1;0
 7361;07 57 49.359;-60 44 07.72;14.354;      ; 0.804; 0;-1; 0;-1;0
 7362;07 57 49.397;-60 20 29.99;18.083; 1.513; 1.748; 1;-1; 1;-1;0
 7363;07 57 49.400;-60 33 24.67;17.730; 0.778; 0.858;-1;-1; 1;-1;0
 7364;07 57 49.402;-60 19 26.68;20.417;      ; 1.369; 0;-1; 0;-1;0
 7365;07 57 49.451;-60 19 13.39;17.849; 1.509; 1.996; 1;-1; 1;-1;0
 7366;07 57 49.489;-60 35 52.68;17.225; 0.752; 0.895;-1;-1; 1;-1;0
 7367;07 57 49.494;-60 28 28.39;18.640; 1.263; 1.323;-1;-1; 1;-1;0
 7368;07 57 49.501;-60 30 12.56;18.271; 0.789; 0.961;-1;-1; 1;-1;0
 7369;07 57 49.513;-61 03 29.58;18.659; 1.469; 1.815; 1;-1; 1;-1;0
 7370;07 57 49.525;-60 51 26.22;20.942;      ; 1.539; 0;-1; 0;-1;0
 7371;07 57 49.528;-60 45 08.18;17.317; 0.907; 1.039;-1;-1; 1;-1;0
 7372;07 57 49.544;-60 48 48.39;18.601;      ; 1.613; 0;-1; 0;-1;0
 7373;07 57 49.569;-61 06 38.41;18.836;      ; 1.891; 0;-1; 0;-1;0
 7374;07 57 49.600;-60 56 35.38;16.400; 1.109; 1.219;-1;-1; 1;-1;0
 7375;07 57 49.607;-61 08 32.51;17.049; 1.036; 1.102;-1;-1; 1;-1;0
 7376;07 57 49.620;-60 25 24.28;19.420; 0.744; 1.242;-1;-1;-1;-1;0
 7377;07 57 49.623;-60 39 29.28;19.511; 0.792; 1.004;-1;-1; 1;-1;0
 7378;07 57 49.660;-60 33 45.61;17.769; 0.632; 0.849;-1;-1; 1;-1;0
 7379;07 57 49.671;-60 21 25.82;16.463; 0.761; 0.897;-1;-1; 1;-1;0
 7380;07 57 49.741;-60 31 00.71;18.880; 0.601; 0.834;-1;-1; 1;-1;0
 7381;07 57 49.750;-60 18 52.86;17.180; 0.640; 1.234;-1;-1;-1;-1;0
 7382;07 57 49.792;-60 50 42.65;20.247;      ; 1.388; 0;-1; 0;-1;0
 7383;07 57 49.795;-60 52 54.74;18.724; 0.689; 0.735;-1;-1; 1;-1;0
 7384;07 57 49.851;-60 30 13.02;18.664;      ; 0.933; 0;-1; 0;-1;0
 7385;07 57 49.851;-60 30 51.20;20.558;      ; 1.653; 0;-1; 0;-1;0
 7386;07 57 49.938;-60 38 22.77;20.003;      ; 1.174; 0;-1; 0;-1;0
 7387;07 57 49.954;-60 24 06.97;19.025; 0.892; 0.760;-1;-1;-1;-1;0
 7388;07 57 50.001;-60 51 38.19;18.344; 1.411; 1.553;-1;-1; 1;-1;0
 7389;07 57 50.060;-60 33 28.43;18.089; 0.944; 1.281;-1;-1;-1;-1;0
 7390;07 57 50.081;-60 41 23.85;18.489; 0.915; 1.452;-1;-1;-1;-1;0
 7391;07 57 50.128;-60 59 03.53;18.773; 0.756; 0.709;-1;-1; 1;-1;0
 7392;07 57 50.179;-61 00 44.13;19.211; 0.843; 0.835;-1;-1; 1;-1;0
 7393;07 57 50.250;-60 55 09.51;18.784; 0.628; 0.829;-1;-1; 1;-1;0
 7394;07 57 50.269;-60 36 39.85;18.413;      ; 1.379; 0;-1; 0;-1;0
 7395;07 57 50.301;-61 02 25.71;19.171; 0.775; 0.759;-1;-1; 1;-1;0
 7396;07 57 50.350;-60 33 27.41;17.934; 1.095; 1.263;-1;-1; 1;-1;0
 7397;07 57 50.366;-61 01 43.67;20.542;      ; 1.834; 0;-1; 0;-1;0
 7398;07 57 50.371;-60 41 23.95;18.587; 0.806; 1.574;-1;-1;-1;-1;0
 7399;07 57 50.383;-60 50 12.09;17.404; 1.290; 1.394;-1;-1; 1;-1;0
 7400;07 57 50.406;-61 08 48.82;17.897; 0.860; 0.979;-1;-1; 1;-1;0
 7401;07 57 50.408;-60 37 50.10;19.818; 0.367; 0.997;-1;-1;-1;-1;0
 7402;07 57 50.422;-61 03 26.40;18.809; 0.887; 1.177;-1;-1;-1;-1;0
 7403;07 57 50.477;-60 57 32.90;16.750; 1.064; 1.082;-1;-1; 1;-1;0
 7404;07 57 50.489;-61 06 29.04;19.533; 0.786;      ;-1; 0; 0;-1;0
 7405;07 57 50.629;-60 35 08.29;17.825; 0.644; 0.943;-1;-1;-1;-1;0
 7406;07 57 50.633;-60 49 54.72;18.432; 0.448;      ;-1; 0; 0;-1;0
 7407;07 57 50.743;-61 02 38.89;19.626; 0.653; 0.844;-1;-1; 1;-1;0
 7408;07 57 50.744;-61 10 37.63;19.160; 0.814; 1.111;-1;-1;-1;-1;0
 7409;07 57 50.766;-60 46 32.96;18.061; 0.744; 0.966;-1;-1; 1;-1;0
 7410;07 57 50.775;-60 57 17.41;19.399; 0.934; 0.914;-1;-1; 1;-1;0
 7411;07 57 50.801;-60 25 55.47;17.247; 1.069; 1.219;-1;-1; 1;-1;0
 7412;07 57 50.851;-60 32 23.85;14.571; 0.687; 0.791;-1;-1; 1;-1;0
 7413;07 57 50.930;-60 25 40.36;18.855; 0.691; 0.923;-1;-1; 1;-1;0
 7414;07 57 50.940;-60 34 53.85;15.754; 0.726; 0.871;-1;-1; 1;-1;0
 7415;07 57 50.990;-60 21 16.57;20.214;      ; 0.931; 0;-1; 0;-1;0
 7416;07 57 50.993;-60 24 11.22;16.556; 1.526; 1.946; 1; 1; 1; 1;1
 7417;07 57 51.007;-60 57 29.94;18.418; 1.276; 2.530;-1; 1;-1;-1;1
 7418;07 57 51.034;-61 10 15.17;19.225; 0.879; 1.432;-1;-1;-1;-1;0
 7419;07 57 51.110;-60 43 12.38;18.702;      ; 2.568; 0; 1; 0; 1;0
 7420;07 57 51.141;-60 42 10.74;17.771; 1.589; 2.120; 1; 1; 1; 1;0
 7421;07 57 51.273;-61 11 02.41;15.922; 0.901; 1.057;-1;-1; 1;-1;0
 7422;07 57 51.289;-60 44 02.89;19.307;      ; 1.242; 0;-1; 0;-1;0
 7423;07 57 51.300;-60 19 13.47;17.645; 0.824; 0.964;-1;-1; 1;-1;0
 7424;07 57 51.300;-60 23 23.92;16.165; 0.630; 1.000;-1;-1;-1;-1;0
 7425;07 57 51.323;-60 59 46.19;20.693;      ; 2.386; 0;-1; 0;-1;0
 7426;07 57 51.403;-60 57 00.19;15.915; 0.741; 0.962;-1;-1; 1;-1;0
 7427;07 57 51.404;-60 39 09.32;11.552; 0.752; 0.809;-1;-1; 1;-1;0
 7428;07 57 51.444;-60 26 29.84;18.742; 1.388; 1.742;-1;-1; 1;-1;0
 7429;07 57 51.509;-60 37 17.74;14.524; 0.896; 1.026;-1; 1; 1;-1;0
 7430;07 57 51.568;-61 06 54.73;17.873; 1.626; 2.166; 1; 1; 1; 1;0
 7431;07 57 51.609;-60 23 22.72;15.970; 0.813; 0.953;-1;-1; 1;-1;0
 7432;07 57 51.626;-61 08 25.00;18.030; 0.882; 1.028;-1;-1; 1;-1;0
 7433;07 57 51.631;-61 12 55.32;18.408; 0.696; 0.946;-1;-1; 1;-1;0
 7434;07 57 51.632;-60 53 53.28;18.633; 0.927; 0.838;-1;-1; 1;-1;0
 7435;07 57 51.636;-60 59 54.17;20.779;      ; 2.014; 0;-1; 0;-1;0
 7436;07 57 51.649;-60 38 01.58;19.485; 1.770; 2.384; 1;-1;-1;-1;0
 7437;07 57 51.651;-60 31 51.52;17.604; 0.748; 0.851;-1;-1; 1;-1;0
 7438;07 57 51.667;-60 46 30.03;13.974;      ; 0.861; 0;-1; 0;-1;0
 7439;07 57 51.679;-60 56 22.11;20.153;      ; 1.083; 0;-1; 0;-1;0
 7440;07 57 51.722;-60 29 25.91;19.745; 0.669; 1.029;-1;-1;-1;-1;0
 7441;07 57 51.762;-61 03 50.12;16.636; 0.848; 1.038;-1;-1; 1;-1;0
 7442;07 57 51.871;-61 04 22.05;16.904; 1.464; 1.822; 1; 1; 1; 1;0
 7443;07 57 51.878;-60 45 06.33;10.910; 0.318; 0.366; 1; 1; 1; 1;0
 7444;07 57 51.895;-60 28 58.46;17.921; 1.029; 1.028;-1;-1; 1;-1;0
 7445;07 57 51.902;-60 56 46.08;18.918; 1.151; 1.251;-1;-1; 1;-1;0
 7446;07 57 51.920;-60 35 11.93;14.865; 0.864; 0.951;-1;-1; 1;-1;0
 7447;07 57 51.947;-61 07 21.70;20.461;      ; 1.412; 0;-1; 0;-1;0
 7448;07 57 51.962;-60 29 09.66;20.474;      ; 2.384; 0;-1; 0;-1;0
 7449;07 57 51.975;-60 51 26.91;20.346;      ; 1.796; 0;-1; 0;-1;0
 7450;07 57 51.977;-60 45 46.15;19.474;      ; 1.191; 0;-1; 0;-1;0
 7451;07 57 52.002;-61 11 33.57;20.855;      ; 1.376; 0;-1; 0;-1;0
 7452;07 57 52.050;-60 35 22.12;20.315;      ; 1.696; 0;-1; 0;-1;0
 7453;07 57 52.081;-60 28 03.89;20.054; 0.929; 2.156;-1;-1;-1;-1;0
 7454;07 57 52.118;-61 00 31.64;14.362; 0.931; 1.023; 1; 1; 1; 1;0
 7455;07 57 52.126;-60 47 34.20;15.317; 0.748; 0.885;-1;-1; 1;-1;0
 7456;07 57 52.147;-61 07 40.13;18.625; 1.119; 1.371;-1;-1; 1;-1;0
 7457;07 57 52.160;-60 34 42.81;20.090;      ; 1.597; 0;-1; 0;-1;0
 7458;07 57 52.163;-60 54 03.58;19.272;      ; 1.520; 0;-1; 0;-1;0
 7459;07 57 52.173;-60 26 20.62;18.485; 0.602; 0.903;-1;-1; 1;-1;0
 7460;07 57 52.173;-61 10 46.24;20.484;      ; 1.938; 0;-1; 0;-1;0
 7461;07 57 52.180;-60 23 41.11;18.834; 0.770; 0.795;-1;-1; 1;-1;0
 7462;07 57 52.183;-60 26 19.09;17.700; 0.510; 0.725;-1;-1; 1;-1;0
 7463;07 57 52.189;-61 06 09.92;18.605; 0.734; 0.847;-1;-1; 1;-1;0
 7464;07 57 52.191;-60 41 53.56;18.024; 0.914; 0.971;-1;-1; 1;-1;0
 7465;07 57 52.214;-61 01 23.92;18.705; 0.804; 0.842;-1;-1; 1;-1;0
 7466;07 57 52.297;-60 46 26.15;13.187; 1.446; 1.391;-1;-1;-1;-1;0
 7467;07 57 52.342;-60 53 52.10;17.811; 0.710; 0.794;-1;-1; 1;-1;0
 7468;07 57 52.451;-60 42 04.86;15.233; 0.930; 1.049;-1;-1; 1;-1;0
 7469;07 57 52.487;-61 07 13.94;18.672; 1.104; 1.256;-1;-1; 1;-1;0
 7470;07 57 52.529;-60 52 05.56;21.196;      ; 1.257; 0;-1; 0;-1;0
 7471;07 57 52.553;-60 39 57.84;20.254; 0.629; 1.163;-1;-1;-1;-1;0
 7472;07 57 52.600;-60 25 43.37;16.101; 0.613; 0.774;-1;-1; 1;-1;0
 7473;07 57 52.615;-60 24 40.63;16.618; 0.804; 0.890;-1;-1; 1;-1;0
 7474;07 57 52.638;-60 57 39.29;15.417; 0.748; 0.863;-1;-1; 1;-1;0
 7475;07 57 52.699;-60 23 27.01;18.222; 0.740; 0.843;-1;-1; 1;-1;0
 7476;07 57 52.703;-60 57 00.56;18.396;      ; 0.578; 0;-1; 0;-1;0
 7477;07 57 52.726;-60 47 21.77;17.939; 0.815; 0.868;-1;-1; 1;-1;0
 7478;07 57 52.732;-60 59 43.98;16.531; 0.690; 0.851;-1;-1; 1;-1;0
 7479;07 57 52.776;-60 47 14.83;18.833; 0.873; 1.133;-1;-1; 1;-1;0
 7480;07 57 52.782;-60 30 47.83;17.322; 1.483; 2.004; 1; 1; 1; 1;0
 7481;07 57 52.806;-60 46 48.28;16.694; 0.716; 0.902;-1;-1; 1;-1;0
 7482;07 57 52.828;-60 56 10.51;18.295;      ; 1.667; 0;-1; 0;-1;0
 7483;07 57 52.846;-60 46 59.77;13.133; 0.756; 0.881; 1; 1; 1; 1;1
 7484;07 57 52.847;-60 54 39.25;21.678;      ; 1.938; 0;-1; 0;-1;0
 7485;07 57 52.855;-60 55 44.15;11.801; 0.771; 0.819;-1;-1; 1;-1;0
 7486;07 57 52.858;-61 06 40.53;19.538; 0.670; 1.217;-1;-1;-1;-1;0
 7487;07 57 52.898;-60 54 44.47;18.593; 0.940; 1.158;-1;-1; 1;-1;0
 7488;07 57 52.900;-61 04 29.09;19.771; 0.894; 0.432;-1;-1;-1;-1;0
 7489;07 57 52.901;-60 33 42.66;18.973; 1.043; 1.358;-1;-1;-1;-1;0
 7490;07 57 52.909;-60 57 52.06;19.483; 1.185; 0.265;-1;-1;-1;-1;0
 7491;07 57 52.911;-60 56 38.10;18.697; 0.553; 1.023;-1;-1;-1;-1;0
 7492;07 57 52.922;-60 31 24.45;17.320; 1.129; 1.116;-1;-1; 1;-1;0
 7493;07 57 52.933;-60 29 49.61;16.799; 0.731; 0.937;-1;-1; 1;-1;0
 7494;07 57 52.941;-60 19 36.04;18.357; 1.665; 2.325; 1; 1; 1; 1;0
 7495;07 57 52.947;-60 45 51.31;16.097; 0.804; 0.896;-1;-1; 1;-1;0
 7496;07 57 52.991;-61 00 53.84;19.422;      ; 1.012; 0;-1; 0;-1;0
 7497;07 57 53.073;-60 49 50.81;19.296; 0.919; 0.915;-1;-1; 1;-1;0
 7498;07 57 53.088;-60 45 16.14;17.453; 0.772; 0.959;-1;-1; 1;-1;0
 7499;07 57 53.102;-60 31 34.03;19.833; 0.948; 1.531;-1;-1;-1;-1;0
 7500;07 57 53.122;-60 41 29.28;20.669;      ; 2.498; 0;-1; 0;-1;0
 7501;07 57 53.153;-60 29 54.95;19.008; 1.698; 2.648; 1; 1; 1; 1;0
 7502;07 57 53.255;-61 00 09.65;20.169;      ; 1.328; 0;-1; 0;-1;0
 7503;07 57 53.268;-60 56 11.88;16.955; 0.506; 0.712;-1;-1; 1;-1;0
 7504;07 57 53.339;-60 38 05.19;20.392;      ; 2.879; 0; 1; 0; 1;0
 7505;07 57 53.357;-60 46 11.22;19.713;      ; 2.866; 0; 1; 0; 1;0
 7506;07 57 53.382;-60 31 55.39;18.481; 1.435; 1.844;-1;-1; 1;-1;0
 7507;07 57 53.384;-60 48 58.05;18.336; 0.687; 0.954;-1;-1; 1;-1;0
 7508;07 57 53.402;-60 31 02.31;19.345; 0.876; 0.643;-1;-1;-1;-1;0
 7509;07 57 53.407;-60 27 27.00;19.960; 0.729; 0.832;-1;-1; 1;-1;0
 7510;07 57 53.431;-60 33 20.99;17.509; 1.129; 1.177;-1;-1; 1;-1;0
 7511;07 57 53.449;-60 39 25.77;18.002; 0.862; 1.101;-1;-1; 1;-1;0
 7512;07 57 53.452;-60 55 20.71;20.342;      ; 0.779; 0;-1; 0;-1;0
 7513;07 57 53.460;-60 23 49.56;17.939; 1.357; 1.411;-1;-1;-1;-1;0
 7514;07 57 53.486;-60 27 14.53;19.746;      ; 2.178; 0;-1; 0;-1;0
 7515;07 57 53.508;-60 25 26.50;17.178; 0.594; 0.807;-1;-1; 1;-1;0
 7516;07 57 53.520;-61 12 52.61;16.141; 0.772; 0.896;-1;-1; 1;-1;0
 7517;07 57 53.531;-60 34 08.73;20.545;      ; 1.736; 0;-1; 0;-1;0
 7518;07 57 53.608;-60 23 25.19;17.675; 0.844; 1.014;-1;-1; 1;-1;0
 7519;07 57 53.608;-61 06 17.27;19.768; 0.723; 1.095;-1;-1;-1;-1;0
 7520;07 57 53.618;-61 00 28.55;14.367; 1.736; 1.047;-1; 1;-1;-1;0
 7521;07 57 53.638;-61 06 07.68;16.978; 1.297; 1.467;-1;-1; 1;-1;0
 7522;07 57 53.700;-61 12 40.86;17.612; 1.085; 1.223;-1;-1; 1;-1;0
 7523;07 57 53.709;-60 25 48.95;15.577; 0.663; 0.787;-1;-1; 1;-1;0
 7524;07 57 53.732;-60 41 27.49;20.113; 0.607; 1.054;-1;-1;-1;-1;0
 7525;07 57 53.743;-60 28 49.38;18.546; 0.472;      ;-1; 0; 0;-1;0
 7526;07 57 53.750;-60 35 59.71;18.772; 0.885; 0.747;-1;-1;-1;-1;0
